japanese,reading,meaning,sinoVietnamese
ダブル,ダブル,"Đôi, gấp đôi, 2 người (phòng)",
カタログ,カタログ,Danh sách.cuốn tranh ảnh giới thiệu sản phẩm,Catalog
ブランド,ブランド,"Thương hiệu, nhãn hiệu",Brand
フリーマーケット,フリーマーケット,"Hội chợ, chợ trời",Free Market
スポンサー,スポンサー,Tài trợ,Sponsor
キャンペーン,キャンペーン,Chiến dịch khuyến mại lớn,Campaign
イベント,イベント,Sự kiện,Event
フェスティバル,フェスティバル,Lễ hội,Festival
パレード,パールド,Diễu hành,parade
ライブ,ライブ,Trực tiếp,Live
アウトドア,アウトドア,Ngoài trời,Outdoor
リゾート,リゾート,Khu nghỉ dưỡng,Resort
スリル,スリル,"Run, hồi hộp",Thrill
ミステリー,ミステリー,"Bí ẩn, thần bí, huyền bí",Mystery
フィクション,フィクション,"Hư cấu, viễn tưởng",Fiction
ヒーロー,ヒーロー,Anh hùng,Hero
ファン,ファン,Phan hâm mộ,Fan
デビュー,デビュー,"Xuất hiện, ra mắt lần đầu",Debut
プロフィール,プロフィール,"Hồ sơ, lý lịch",Profile
イニシャル,イニシャル,"Chữ đầu, đầu tiên, bạn đầu",Initial
ポピュラーな,ポピュラーな,"Nổi tiếng, phổ biến, được ưa chuộng",Popular
ヘルシーな,ヘルシーな,Tốt cho sức khỏe,healthy
レシピ,レシピ,Công thức (nấu),Recipe
スパイス,スパイス,Gia vị,Spice
ボリューム,ボリューム,"Âm lượng, Số lượng (nhiều hay ít)",Volume
トライ,トライ,Thử,Try
チャレンジ,チャレンジ,"Thử thách, thử sức",Challenge
マイペースな,マイペースな,Theo ý mình,My pace
チームワーク,チームワーク,Làm việc nhóm,Team work
プロジェクト,プロジェクト,Dự án,Project
パートナー,パートナー,"Đối tác, bạn đồng hành",Partner
セミナー,セミナー,Hội thảo,Seminar
シンポジウム,シンポジウム,Hội nghị chuyên đề,Symposium
ゼミ,ゼミ,"Hướng dẫn, giám hộ",
レジュメ,レジュメ,"Tóm tắt, tóm lược",Resume
リスト,リスト,Danh sách,List
ランク,ランク,"Cấp bậc, phân hạng",Rank
インターンシップ,インターンシップ,Thực tập,Internship
リストラ,リストラ,"Tái cấu trúc, tái cơ cấu",restr(uct)
フリーター,フリーター,Làm tự do,Freeter
セクハラ,セクハラ,"Quấy rối, sàm sỡ",Sexual harassment
フェアな,フェアな,Công bằng,Fair
ボイコット,ボイコット,"đình công, sự tẩy chay",boycott
アレルギー,アレルギー,Dị ứng (bệnh),allergy
近年,きんねん,Những năm gần đây,CẬN NIÊN
嘗て,かつて,"Trước đây, trong quá khứ",THƯỜNG
予て,かねて,Trước đó,DỰ
目下,もっか,"Hiện tại, bây giờ",MỤC HẠ
終日,しゅうじつ,Cả ngày,CHUNG NHẬT
早急に,そうきゅうにさっきゅうに,"Khẩn cấp, gấp rút",TẢO CẤP
即座に,そくざに,Ngay lập tức,TỨC TỌA
すかさず,すかさず,"Ngay lập tức Không ngần ngại, không do dự",
不意に,ふいに,"Đột nhiên, không ngờ đến, bất thình lình",BẤT Ý
突如,とつじょ,Đột nhiên,ĐỘT NHƯ
近々,ちかぢか,Một ngày gần đâySớm,CẬN
直にもうじき,じきにもうじき,SớmChẳng mấy chốc,TRỰC
ぼつぼつ,ぼつぼつ,"Sớm, từ từ, khắp nơi, lốm đốm",
今どき,いまどき,"Ngày nay, thời nay",KIM
今ごろ,いまごろ,"Bây giờ, giờ nàyThời gian này",KIM
今更,いまさら,,Đến lúc này (chỉ sự việc đã muộn)
今に,いまに,"Sớm, Chẳng mấy chốc",KIM
今や,いまや,Hiện tại (đối lập với quá khứ),KIM
頻繁に,ひんぱんに,Thường xuyên,TẦN PHỒN
始終,しじゅう,"Từ đầu đến cuối, liên tục.",THỦY CHUNG
