japanese,reading,meaning,sinoVietnamese
敏しょうな,びんしょうな),Lanh lợi,MẪN
詳細な,しょうさい(な),"Chi tiết, tường tận",TƯỜNG TẾ
緻密な,ちみつ(な),Chính xác,TRÍ MẬT
まれ(な),まれ(な),"Hiếm, không phổ biến",
密かな,ひそか(な),"Bí mật, riêng tưÂm thầm, thầm",MẬT
細やかな,こまやか(な),"Giản dị, kỹ lưỡng",TẾ
ささやか(な),ささやか(な),"Khiêm tốn, nhỏ bé tầm thường",TẾ
ささい(な),ささい(な),"Nhỏ nhặt, không đáng kể",
切実な,せつじつ(な),"Khẩn cấp, nghiêm trọng",THIẾT THỰC
痛切な,つうせつ(な),Sâu sắc,THỐNG THIẾT
切ない,せつな(い),"Đau khổ, Luyến tiếcĐè nặng",THIẾT
鬱陶しい,うっとうし(い),"U sầu, khó chịuÂm u (thời tiết)","U UẤT, ỨC"
煩わしい,わずらわし(い),"Phức tạp, phiền phức",PHIỀN
厄介な,やっかい(な),"Phiền phức, rắc rối",ÁCH GIỚI
容易い,たやす(い),"Dễ dàng, đơn giản",DUNG DỊCH
思わしい,おもわし(い),"Phù hợp, đạt yêu cầu, hài lòng",TƯ
悩ましい,なやまし(い),"Khó khăn (trăn trở) , quyến rũ",NÃO
手持ち無沙汰な,てもちぶさた(な),"Không có gì để làm, chán nản",THỦ TRÌ VÔ XA THÁI
淡い,あわ(い),"Nhợt nhạt, nhạt nhẽo, mong manh",ĐẠM
淡白な,たんぱく(な),"Nhạt, đạm bạc, chất phác",ĐẠM BẠCH
儚(い),はかな(い),"Thoáng qua, phù du, ngắn ngủi",VŨ
あっけな(い),あっけな(い),"Không đủ, ngắn ngủi, quá nhanhVô vị, nhàm chán",
虚しい,むなし(い),"Trống rỗng, phí công, vô ích",HƯ
なだらか(な),なだらか(な),"Nhẹ nhàng, thỏa mái",
緩やかな,ゆるやか(な),"Nhẹ nhàng, chậm rãi",HOÃN
のどか(な),のどか(な),"Yên tĩnh, thanh bình",
和やかな,なごやか(な),"Hòa nhã, êm dịu",HÒA
しなやか(な),しなやか(な),Mềm dẻo,
掛け替えのない,かけがえのない,"Không thể thay thế được, vô giá",QUẢI THẾ
格別な,かくべつ(な),Ngọai lệ,CÁCH BIỆT
画期的な,かっきてき(な),Đột phá,HỌA KỲ ĐÍCH
重宝な,ちょうほう(な),"Quý báu, tiện lợi, hữu ích",TRỌNG BẢO
無難な,ぶなん(な),An toàn,VÔ NẠN
画一的な,かくいつてき(な),Tiêu chuẩn,HỌA NHẤT ĐÍCH
紛らわしい,まぎらわし(い),"Gây hiểu lầm, dễ nhầm lẫn",PHÂN
生ぬるい,なまぬる(い),"Ấm áp, mềm mỏng",SINH
強かな,したたか(な),"Cứng rắn, khắt khe",CƯỜNG
脆い,もろ(い),"Dễ vỡ, mong manh, yếu đuối",THÚY
危うい,あやう(い),"Nguy hiểm, suýt chết",NGUY
ややこしい,ややこし(い),"Phiền phức, phức tạp, lộn xộn dễ nhầm lẫn",
まちまち(な),まちまち(な),"Đa dạng, phong phú, muôn hình muôn vẻ.",
生々しい,なまなまし(い),"Sinh động, sống động",SINH
露骨な,ろこつ(な),"Thẳng thắn, trơ tráo",LỘ CỐT
巧妙な,こうみょう(な),"Đa mưu, khôn khéo, tài năng, tinh vi",XẢO DIỆU
重厚な,じゅうこう(な),"Trang nghiêm, uy nghiTo lớn, đồ sộ",TRỌNG HẬU
厳かな,おごそか(な),"Uy nghiêm, tráng lệ",NGHIÊM
希薄な,きはく(な),"Mỏng manh, thưa, loãng",HI BẠC
旺盛な,おうせい(な),"Khỏe, thịnh vượng, đầy sức sống, phấn chấn",VƯỢNG THỊNH
圧倒的な,あっとあてき(な),"Áp đảo, Trầm trọng",ÁP ĐẢO ĐÍCH
生理的な,せいりてき(な),"Tính sinh học, bản tính, bản năng",SINH LÝ ĐÍCH
致命的な,ちめいてき(な),"Chí mạng, nghiêm trọng, chết người",CHÍ MỆNH ĐÍCH
著しい,いちじるし(い),Một cách Đáng kể,TRỨ
顕著な,けんちょ(な),"Nổi bật, gây ấn tượng mạnh",HIỂN TRỨ
莫大な,ばくだい(な),"Khổng lồ, to lớn",MẠC ĐẠI
夥しい,おびただし(い),"Nhiều, vô số, một loạt",KHỎA
甚だしい,はなはだし(い),"Cực kì, kinh khủng, quá mức",THẬM
端的な,たんてき(な),"Rõ ràng, thẳng thắn",ĐOAN ĐÍCH
堪能な,たんのう(な),"Giỏi, thành thạo, hài lòngTận hưởng, thưởng thức",KHAM NĂNG
主催,しゅさい,"Chủ trì, tổ chức",CHỦ THÔI
企画,きかく,"Kế hoạch, dự án",XÍ HỌA
趣旨,しゅし,"Ý đồ, mục đích",THÚ CHỈ
要領,ようりょう,"Phác thảo,sự khái quátTháo vát, lanh lợi",YÊU LĨNH
融通,ゆうずう,"Linh hoạt, khả năng học hỏi, vay (tiền)",DUNG THÔNG
便宜,べんき,"Tiện lợi, tiẹn nghi",TIỆN NGHI
駆使,くし,"Tận dụng, sử dụng miễn phí",KHU SỬ
実践,じっせん,Thực tiễn,THỰC TIỄN
着手,ちゃくしゅ,Bắt tay vào công việc,TRƯỚC THỦ
措置,そち,Biện pháp,THỐ TRÍ
是正,ぜせい,"Xem xét lại, chỉnh sửa lại",THỊ CHÍNH
